"","x"
"1640",0
"1641",0
"1642",0
"1643",1
"1644",0
"1645",1
"1646",0
"1647",0
"1648",0
"1649",14
"1650",0
"1651",0
"1652",0
"1653",6
"1654",0
"1655",0
"1656",0
"1657",0
"1658",0
"1659",0
"1660",0
"1661",0
"1662",0
"1663",0
"1664",0
"1665",0
"1666",8
"1667",0
"1668",2
"1669",0
"1670",0
"1671",0
"1672",0
"1673",0
"1674",0
"1675",3
"1676",0
"1677",0
"1678",0
"1679",0
"1680",0
"1681",0
"1682",0
"1683",0
"1684",2
"1685",0
"1686",0
"1687",0
"1688",1
"1689",0
"1690",0
"1691",0
"1692",0
"1693",0
"1694",0
"1695",0
"1696",0
"1697",2
"1698",1
"1699",1
"1700",0
"1701",0
"1702",0
"1703",0
"1704",1
"1705",0
"1706",1
"1707",0
"1708",237
"1709",0
"1710",5
"1711",0
"1712",0
"1713",3
"1714",0
"1715",0
"1716",0
"1717",0
"1718",0
"1719",0
"1720",0
"1721",0
"1722",0
"1723",0
"1724",28
"1725",0
"1726",0
"1727",0
"1728",0
"1729",5
"1730",1
"1731",3
"1732",0
"1733",1
"1734",2
"1735",0
"1736",0
"1737",0
"1738",0
"1739",0
"1740",1
"1741",0
"1742",0
"1743",1
"1744",0
"1745",0
"1746",11
"1747",0
"1748",0
"1749",0
"1750",1
"1751",1
"1752",0
"1753",0
"1754",0
"1755",0
"1756",2
"1757",0
"1758",0
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",0
"1766",3
"1767",0
"1768",0
"1769",6
"1770",0
"1771",0
"1772",6
"1773",1
"1774",2
"1775",0
"1776",0
"1777",1
"1778",2
"1779",0
"1780",0
"1781",0
"1782",0
"1783",0
"1784",0
"1785",0
"1786",0
"1787",0
"1788",0
"1789",0
"1790",0
"1791",2
"1792",0
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",0
"1799",0
"1800",0
"1801",0
"1802",0
"1803",0
"1804",0
"1805",0
"1806",1
"1807",12
"1808",1
"1809",0
"1810",5
"1811",0
"1812",0
"1813",0
"1814",0
"1815",0
"1816",0
"1817",0
"1818",0
"1819",0
"1820",0
"1821",3
"1822",4
"1823",12
"1824",0
"1825",0
"1826",0
"1827",0
"1828",5
"1829",0
"1830",0
"1831",0
"1832",0
"1833",0
"1834",4
"1835",1
"1836",0
"1837",0
"1838",0
"1839",0
"1840",0
"1841",0
"1842",0
"1843",3
"1844",0
"1845",5
"1846",0
"1847",0
"1848",0
"1849",0
"1850",0
"1851",0
"1852",11
"1853",0
"1854",0
"1855",0
"1856",1
"1857",0
"1858",15
"1859",0
"1860",0
"1861",0
"1862",0
"1863",3
"1864",4
"1865",2
"1866",0
"1867",3
"1868",0
"1869",0
"1870",0
"1871",0
"1872",0
"1873",1
"1874",0
"1875",0
"1876",0
"1877",0
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",0
"1884",0
"1885",1
"1886",0
"1887",0
